date,act_symbol,expiration,strike,call_put,bid,ask,implied_volatility,delta,gamma,theta,vega,stock_price,mid_price,BS_price,BT_price,MC_price,BS_error,BT_error,MC_error,BS_error_pct,BT_error_pct,MC_error_pct
2013-01-02,AAPL,2013-01-04,400.0,call,146.9,150.6,0.3726,1.0,0.0,-1.2112,0.0,549.029976,148.75,149.1395500302694,149.13955003026487,149.19848770792706,0.3895500302693904,0.38955003026487134,0.4484877079270575,0.26188237329034647,0.26188237328730846,0.3015043414635681
2013-01-03,AAPL,2013-01-04,400.0,call,140.2,143.05,0.6783,1.0,0.0,-1.2112,0.0,542.099991,141.625,142.15478176767,142.15478176767402,141.97992761816926,0.5297817676699879,0.5297817676740237,0.3549276181692562,0.37407362236186253,0.37407362236471225,0.25061085131103705
2013-01-04,AAPL,2013-01-04,400.0,call,126.25,127.4,0.3,1.0,0.0,0.0,0.0,526.999992,126.825,126.99999200000002,,126.99999200000002,0.17499200000001736,,0.17499200000001736,0.13797910506604955,,0.13797910506604955
2013-01-07,AAPL,2013-01-11,420.0,call,103.45,104.5,0.509,1.0,0.0,-1.288,0.0005,523.900002,103.975,104.13016326433876,104.13014283592334,103.99614531114288,0.1551632643387677,0.15514283592334266,0.02114531114288809,0.14923131939289994,0.14921167196282054,0.020336918627447072
2013-01-08,AAPL,2013-01-11,420.0,call,104.95,106.35,0.3686,1.0,0.0,-1.2717,0.0,525.31002,105.65,105.48258727828977,105.48258727826783,105.20992368206635,-0.16741272171023525,-0.1674127217321768,-0.4400763179336593,-0.15845974605796048,-0.15845974607872862,-0.41654171124813943
2013-01-09,AAPL,2013-01-11,420.0,call,95.45,98.3,0.4424,1.0,0.0,-1.2717,0.0,517.100006,96.875,97.21505873201511,97.21505873182403,96.85460941348067,0.34005873201510894,0.3400587318240298,-0.020390586519326348,0.35102836853172537,0.35102836833448237,-0.021048347374788487
2013-01-10,AAPL,2013-01-11,420.0,call,102.6,103.9,0.7151,1.0,0.0,-1.2718,0.0,523.509979,103.25,103.56750931153653,103.5675093077501,103.54128204688479,0.31750931153652573,0.31750930775010033,0.2912820468847883,0.30751507170607817,0.3075150680388381,0.28211336260027925
2013-01-11,AAPL,2013-01-11,420.0,call,99.1,100.95,0.3,1.0,0.0,0.0,0.0,520.300026,100.025,100.300026,,100.30002599999997,0.2750259999999969,,0.27502599999996846,0.2749572606848257,,0.27495726068479726
2013-01-14,AAPL,2013-01-19,135.0,call,365.55,367.45,0.5376,1.0,0.0,-0.4088,0.0,501.750015,366.5,366.8424490942993,366.84244909429685,367.40073652519544,0.3424490942992975,0.3424490942968532,0.9007365251954411,0.09343767920853957,0.09343767920787265,0.2457671282934355
2013-01-15,AAPL,2013-01-19,135.0,call,349.55,351.35,0.5121,1.0,0.0,-0.4088,0.0,485.920013,350.45000000000005,350.99396533997435,350.99396533997094,350.4689318153556,0.5439653399743065,0.5439653399708959,0.018931815355529125,0.15521910114832543,0.1552191011473522,0.005402144487239013
2013-01-16,AAPL,2013-01-19,135.0,call,370.4,371.45,0.3696,1.0,0.0,-0.4088,0.0,506.089981,370.92499999999995,371.14544905372884,371.145449053726,371.26171066679456,0.2204490537288848,0.22044905372604262,0.3367106667946018,0.05943224472033021,0.059432244719563966,0.09077594305981043
2013-01-17,AAPL,2013-01-19,135.0,call,367.15,368.4,0.2869,1.0,0.0,-0.4088,0.0,502.680023,367.775,367.7170042352159,367.7170042352112,367.8584571982396,-0.05799576478409563,-0.05799576478875679,0.08345719823961417,-0.015769360283895216,-0.015769360285162612,0.022692460944766277
2013-01-18,AAPL,2013-01-19,135.0,call,364.75,365.35,0.0156,1.0,0.0,-0.4088,0.0,500.000015,365.05,365.01850688408865,365.01850688409286,365.01910195897426,-0.03149311591135984,-0.031493115907153424,-0.030898041025750445,-0.00862706914432539,-0.008627069143173106,-0.008464057259485123
2013-01-22,AAPL,2013-01-25,350.0,call,154.2,155.45,0.854,1.0,0.0,-1.0603,0.0,504.770004,154.825,154.91381703821668,154.91381452688847,154.4682513423085,0.08881703821668907,0.08881452688848412,-0.35674865769149733,0.05736608313688944,0.05736446109380535,-0.2304205765809768
2013-01-23,AAPL,2013-01-25,350.0,call,161.75,166.1,1.2917,1.0,0.0,-1.0698,0.0001,514.010002,163.925,164.10614156568778,164.1060745161001,163.69384509532347,0.18114156568776707,0.18107451610009662,-0.23115490467654354,0.11050270897530398,0.11046180637492549,-0.141012600077196
2013-01-24,AAPL,2013-01-25,350.0,call,99.15,102.25,0.9028,1.0,0.0,-1.0598,0.0,450.499977,100.7,100.54791907108336,100.54791899138549,100.8100541138823,-0.15208092891664649,-0.15208100861451612,0.11005411388229902,-0.1510237625785963,-0.1510238417224589,0.10928909025054521
2013-01-25,AAPL,2013-01-25,350.0,call,88.0,91.6,0.3,1.0,0.0,0.0,0.0,439.880001,89.8,89.880001,,89.880001,0.08000099999999577,,0.08000099999999577,0.08908797327393739,,0.08908797327393739
2013-01-28,AAPL,2013-02-01,350.0,call,98.5,100.75,0.4101,1.0,0.0,-1.0598,0.0,449.830002,99.625,100.0217302952878,100.0217302907291,100.17418945073888,0.3967302952877958,0.3967302907290957,0.5491894507388793,0.398223633914977,0.3982236293391174,0.5512566632259767
2013-01-29,AAPL,2013-02-01,350.0,call,107.8,109.15,0.4067,1.0,0.0,-1.0598,0.0,458.269981,108.475,108.41378706522306,108.41378706522069,108.36669896182659,-0.06121293477693257,-0.06121293477930578,-0.10830103817340841,-0.056430453816024496,-0.056430453818212295,-0.0998396295675579
2013-01-30,AAPL,2013-02-01,350.0,call,106.3,107.2,0.3469,1.0,0.0,-1.0598,0.0,456.830002,106.75,106.92587927648566,106.92587927648148,106.89250603650115,0.17587927648565937,0.17587927648148138,0.14250603650114613,0.16475810443621486,0.16475810443230107,0.13349511616032422
2013-01-31,AAPL,2013-02-01,350.0,call,105.2,106.6,0.4498,1.0,0.0,-1.0598,0.0,455.489998,105.9,105.53793992171126,105.53793992171515,105.49631938465653,-0.3620600782887493,-0.36206007828485554,-0.4036806153434753,-0.3418886480535876,-0.34188864804991076,-0.3811903827605999
2013-02-01,AAPL,2013-02-01,350.0,call,102.85,104.0,0.3,1.0,0.0,0.0,0.0,453.619995,103.425,103.61999500000002,,103.61999500000002,0.19499500000002,,0.19499500000002,0.1885375876239014,,0.1885375876239014
2013-02-04,AAPL,2013-02-08,375.0,call,66.95,68.05,0.2828,1.0,0.0,-1.0893,0.0,442.320004,67.5,67.52542718896495,67.52542717483784,67.51019165572035,0.02542718896495444,0.02542717483784429,0.01019165572034808,0.037669909577710284,0.03766988864865821,0.01509874921533049
2013-02-05,AAPL,2013-02-08,375.0,call,82.05,83.95,0.2434,1.0,0.0,-1.0894,0.0,457.840012,83.0,82.99408992702456,82.9940899270229,82.80933135493461,-0.005910072975439107,-0.005910072977101777,-0.1906686450653865,-0.0071205698499266345,-0.007120569851929852,-0.2297212591149235
2013-02-06,AAPL,2013-02-08,375.0,call,80.7,83.75,0.6445,1.0,0.0,-1.0914,0.0,457.350014,82.225,82.45280612553319,82.4527896744719,82.14833571197819,0.22780612553319202,0.22778967447190723,-0.07666428802180292,0.2770521441571201,0.27703213678553634,-0.09323720039136871
2013-02-07,AAPL,2013-02-08,375.0,call,91.4,94.85,0.6465,1.0,0.0,-1.0894,0.0,468.220009,93.125,93.27137534474451,93.27137534470222,93.37978967129646,0.14637534474451286,0.14637534470222135,0.25478967129646435,0.15718157824914133,0.15718157820372763,0.27359964702976036
2013-02-08,AAPL,2013-02-08,375.0,call,98.15,101.4,0.3,1.0,0.0,0.0,0.0,474.980003,99.775,99.98000300000001,,99.98000300000004,0.20500300000000493,,0.20500300000003335,0.20546529691807058,,0.2054652969180991
2013-02-11,AAPL,2013-02-16,260.0,call,219.15,220.25,0.3285,1.0,0.0,-0.7553,0.0,479.930023,219.7,220.10804421865043,220.10804421864734,220.20853651699866,0.4080442186504456,0.40804421864734763,0.5085365169986744,0.18572791017316598,0.18572791017175588,0.23146860127386182
2013-02-12,AAPL,2013-02-16,260.0,call,207.45,208.6,0.3633,1.0,0.0,-0.7553,0.0,467.900002,208.02499999999998,208.04242872883947,208.04242872883657,207.94037018060757,0.01742872883949076,0.017428728836591745,-0.08462981939240422,0.00837818956350956,0.00837818956211597,-0.04068252344304974
2013-02-13,AAPL,2013-02-16,260.0,call,206.0,207.4,0.2404,1.0,0.0,-0.7553,0.0,467.009995,206.7,207.11682236273703,207.11682236273575,207.10331540528506,0.41682236273703666,0.4168223627357577,0.4033154052850705,0.20165571491874054,0.20165571491812176,0.1951211443082102
2013-02-14,AAPL,2013-02-16,260.0,call,205.8,207.4,0.2421,1.0,0.0,-0.7553,0.0,466.590012,206.60000000000002,206.6612351196751,206.66123511967106,206.63916134001263,0.06123511967507511,0.06123511967103923,0.039161340012611845,0.029639457732369364,0.029639457730415885,0.018955150054507184
2013-02-15,AAPL,2013-02-16,260.0,call,199.2,201.15,0.0222,1.0,0.0,-0.7553,0.0,460.160011,200.175,200.19562499898547,200.19562499898953,200.18646534811833,0.020624998985454113,0.020624998989518417,0.011465348118321117,0.010303483944275814,0.01030348394630619,0.005727662354600283
2013-02-19,AAPL,2013-02-22,380.0,call,79.45,80.25,0.2913,1.0,0.0,-1.104,0.0,459.990021,79.85,80.14615329938528,80.14615329938317,80.13257983586624,0.29615329938528134,0.29615329938317814,0.2825798358662439,0.3708870374267769,0.370887037424143,0.35388833546179577
2013-02-20,AAPL,2013-02-22,380.0,call,68.65,69.5,0.4787,1.0,0.0,-1.104,0.0,448.850006,69.075,68.95410494403882,68.95410366660478,68.74804171854966,-0.120895055961185,-0.12089633339522265,-0.3269582814503451,-0.17501998691449147,-0.17502183625801324,-0.47333808389481735
2013-02-21,AAPL,2013-02-22,380.0,call,65.5,66.45,0.5172,1.0,0.0,-1.104,0.0,446.060009,65.975,66.11206023206262,66.11206023014417,66.12417894892195,0.1370602320626233,0.13706023014417212,0.14917894892195704,0.20774570983345708,0.20774570692561142,0.22611435986655107
2013-02-22,AAPL,2013-02-22,380.0,call,70.25,71.15,0.3,1.0,0.0,0.0,0.0,450.809998,70.7,70.80999800000001,,70.80999799999998,0.10999800000000448,,0.10999799999997606,0.15558415841584794,,0.15558415841580772
2013-02-25,AAPL,2013-03-01,365.0,call,76.95,78.9,0.4634,1.0,0.0,-1.0888,0.0011,442.799988,77.92500000000001,78.0000760314415,78.00004185196285,78.29933842723719,0.07507603144148334,0.07504185196283686,0.37433842723717703,0.0963439607847075,0.09630009876527025,0.48038296725977153
2013-02-26,AAPL,2013-03-01,365.0,call,83.1,84.8,0.466,1.0,0.0,-1.0604,0.0,448.970009,83.94999999999999,84.11997965104945,84.11997905408641,84.05180571913918,0.16997965104945933,0.16997905408642566,0.10180571913919323,0.20247724961222077,0.20247653851867262,0.12126946889719267
2013-02-27,AAPL,2013-03-01,365.0,call,79.3,80.05,0.4259,1.0,0.0,-1.0603,0.0,444.569988,79.675,79.66997430298363,79.66997430269062,79.65564903695338,-0.005025697016364461,-0.005025697309378074,-0.01935096304661954,-0.006307746490573532,-0.0063077468583345765,-0.024287371253993776
2013-02-28,AAPL,2013-03-01,365.0,call,76.2,77.3,0.6271,1.0,0.0,-1.0603,0.0,441.400009,76.75,76.45000558289041,76.45000557765852,76.46006122764774,-0.29999441710958763,-0.2999944223414843,-0.28993877235225796,-0.39087220470304573,-0.3908722115198493,-0.377770387429652
2013-03-01,AAPL,2013-03-01,365.0,call,63.55,66.75,0.3,1.0,0.0,0.0,0.0,430.470013,65.15,65.470013,,65.470013,0.3200129999999888,,0.3200129999999888,0.4911941673061992,,0.4911941673061992
2013-03-04,AAPL,2013-03-08,360.0,call,58.65,60.9,0.4788,0.9997,0.0001,-2.3332,0.0503,420.049988,59.775,60.25261654015122,60.25223242926448,60.50157290186595,0.47761654015122446,0.4772324292644825,0.7265729018659499,0.7990239065683388,0.7983813120275742,1.2155130102316185
2013-03-05,AAPL,2013-03-08,360.0,call,70.3,72.1,0.5386,1.0,0.0,-1.097,0.002,431.139988,71.19999999999999,71.28839820586774,71.28832692707743,71.47597747711995,0.08839820586774749,0.08832692707744627,0.2759774771199659,0.12415478352211728,0.12405467286158187,0.3876088161797275
2013-03-06,AAPL,2013-03-08,360.0,call,64.8,66.45,0.4513,1.0,0.0,-1.0148,0.0,425.659996,65.625,65.75861324405997,65.75861293274876,65.60912604290854,0.13361324405997266,0.13361293274876118,-0.01587395709145767,0.20360113380567263,0.2036006594266837,-0.024188886996506925
2013-03-07,AAPL,2013-03-08,360.0,call,69.1,72.65,0.5199,1.0,0.0,-1.0148,0.0,430.580002,70.875,70.62931369093872,70.62931369091149,70.456883568002,-0.2456863090612842,-0.2456863090885122,-0.4181164319980013,-0.3466473496455509,-0.3466473496839678,-0.5899350010553811
2013-03-08,AAPL,2013-03-08,360.0,call,70.9,72.2,0.3,1.0,0.0,0.0,0.0,431.720001,71.55000000000001,71.72000100000002,,71.72000100000002,0.1700010000000134,,0.1700010000000134,0.23759748427674823,,0.23759748427674823
2013-03-11,AAPL,2013-03-16,255.0,call,182.35,183.6,0.3039,1.0,0.0,-0.7188,0.0,437.869995,182.975,183.04459273367644,183.04459273367254,183.24646875775332,0.06959273367644414,0.06959273367255037,0.27146875775332546,0.03803401211993122,0.03803401211780318,0.14836385175752176
2013-03-12,AAPL,2013-03-16,255.0,call,172.65,173.9,0.3716,1.0,0.0,-0.7188,0.0,428.429993,173.275,173.56968075328493,173.56968075328234,173.8805535255403,0.29468075328492205,0.2946807532823357,0.6055535255403015,0.1700653604299074,0.17006536042841475,0.34947541511487606
2013-03-13,AAPL,2013-03-16,255.0,call,172.85,173.8,0.2984,1.0,0.0,-0.7188,0.0,428.349991,173.325,173.4547639903767,173.4547639903754,173.27128611110734,0.12976399037671627,0.12976399037540887,-0.053713888892644945,0.07486743999810545,0.07486743999735115,-0.03099027197037066
2013-03-14,AAPL,2013-03-16,255.0,call,177.1,177.6,0.2668,1.0,0.0,-0.7188,0.0,432.499992,177.35,177.56984544429673,177.569845444293,177.58019718097077,0.21984544429673747,0.21984544429301422,0.23019718097077657,0.12396134440188185,0.12396134439978249,0.12979824131422418
2013-03-15,AAPL,2013-03-16,255.0,call,188.4,189.2,0.4521,1.0,0.0,-0.7188,0.0,443.660007,188.8,188.6949361143896,188.6949361143925,188.80661897773265,-0.1050638856104058,-0.10506388560750679,0.006618977732642861,-0.05564824449703697,-0.05564824449550147,0.0035058144770354132
2013-03-18,AAPL,2013-03-22,320.0,call,134.15,137.55,0.4364,1.0,0.0,-0.9021,0.0,455.720016,135.85000000000002,135.89531043549482,135.89531043549206,135.6609456715261,0.045310435494798185,0.04531043549204128,-0.18905432847392944,0.033353283396980626,0.03335328339495125,-0.13916402537646627
2013-03-19,AAPL,2013-03-22,320.0,call,133.8,135.25,0.4184,1.0,0.0,-0.9021,0.0,454.489975,134.525,134.621454831061,134.6214548310602,134.64412228622083,0.0964548310609814,0.0964548310601856,0.11912228622082921,0.07170030184796983,0.07170030184737826,0.08855029639162178
2013-03-20,AAPL,2013-03-22,320.0,call,131.35,132.7,0.3597,1.0,0.0,-0.9021,0.0,452.079987,132.02499999999998,132.1676462242155,132.16764622421107,132.14681320781693,0.1426462242155253,0.14264622421109152,0.12181320781695604,0.10804485833404683,0.10804485833068854,0.09226525871384667
2013-03-21,AAPL,2013-03-22,320.0,call,132.1,133.55,0.5424,1.0,0.0,-0.9021,0.0,452.729988,132.825,132.77382061413596,132.77382061413988,132.674095617757,-0.0511793858640317,-0.051179385860109505,-0.15090438224299874,-0.03853144051498717,-0.03853144051203426,-0.11361143026011576
2013-03-22,AAPL,2013-03-22,320.0,call,141.25,142.2,0.3,1.0,0.0,0.0,0.0,461.910011,141.725,141.910011,,141.91001099999997,0.18501100000000292,,0.1850109999999745,0.13054224730993327,,0.13054224730991323
2013-03-25,AAPL,2013-03-28,320.0,call,142.9,144.35,0.3429,1.0,0.0,-0.9021,0.0,463.580009,143.625,143.711488831061,143.71148883105957,143.72646372719225,0.08648883106098992,0.08648883105956884,0.10146372719225383,0.060218507266137464,0.06021850726514802,0.07064489273612103
